graph_file,execution_time_ms,montemanni_cost_real,montemanni_path_length
graph_0001_n43.txt,9.028900065459311,198,3
graph_0002_n20.txt,6.337700062431395,59,1
graph_0003_n9.txt,4.130899906158447,53,1
graph_0004_n74.txt,13.010199996642768,111,2
graph_0005_n85.txt,10.393499978818,70,1
graph_0006_n98.txt,23.287200019694865,165,3
graph_0007_n3.txt,1.283799996599555,31,1
graph_0008_n58.txt,8.32840008661151,148,3
graph_0009_n17.txt,3.9004000136628747,80,1
graph_0010_n61.txt,23.301500012166798,226,3
graph_0011_n80.txt,17.636099946685135,117,2
graph_0012_n64.txt,12.939600041136146,210,3
graph_0013_n48.txt,13.127500074915588,139,2
graph_0014_n39.txt,7.6688999542966485,139,2
graph_0015_n91.txt,31.382199958898127,272,6
graph_0016_n65.txt,19.39269993454218,238,4
graph_0017_n44.txt,15.613900031894445,259,4
graph_0018_n51.txt,16.90499996766448,202,3
graph_0019_n24.txt,9.672699961811304,92,1
graph_0020_n19.txt,5.6356999557465315,56,1
graph_0021_n9.txt,5.027799983508885,96,2
graph_0022_n6.txt,3.6577999126166105,40,1
graph_0023_n84.txt,22.806899971328676,353,6
graph_0024_n45.txt,8.498099981807172,138,2
graph_0025_n39.txt,8.192899986170232,72,1
graph_0026_n69.txt,13.373599969781935,190,3
graph_0027_n49.txt,15.146999969147146,248,4
graph_0028_n66.txt,9.743300033733249,175,3
graph_0029_n25.txt,11.099600000306964,125,2
graph_0030_n98.txt,13.813900062814355,233,3
graph_0031_n56.txt,11.61460008006543,304,5
graph_0032_n55.txt,12.091999989934266,203,3
graph_0033_n95.txt,16.665900009684265,177,3
graph_0034_n33.txt,6.54880004003644,118,2
graph_0035_n94.txt,22.899999981746078,241,4
graph_0036_n86.txt,14.820899930782616,95,1
graph_0037_n94.txt,21.347700036130846,112,2
graph_0038_n46.txt,8.49529996048659,117,2
graph_0039_n4.txt,2.8858999721705914,73,1
graph_0040_n66.txt,13.079099939204752,268,5
graph_0041_n33.txt,8.575799991376698,48,1
graph_0042_n87.txt,15.212300000712276,308,5
graph_0043_n33.txt,15.155299915932119,263,4
graph_0044_n33.txt,8.730800007469952,162,2
graph_0045_n83.txt,11.504099937155843,245,3
graph_0046_n62.txt,11.278700083494186,91,1
graph_0047_n9.txt,2.7224000077694654,49,1
graph_0048_n49.txt,5.321800010278821,169,3
graph_0049_n78.txt,27.699500089511275,309,5
graph_0050_n93.txt,10.06439991760999,281,4
graph_0051_n44.txt,7.670999970287085,150,2
graph_0052_n48.txt,9.211999946273863,71,1
graph_0053_n44.txt,8.723600069060922,147,3
graph_0054_n81.txt,24.635800044052303,222,5
graph_0055_n7.txt,3.7603999953716993,115,2
graph_0056_n25.txt,5.918900016695261,109,2
graph_0057_n78.txt,14.33310005813837,126,2
graph_0058_n13.txt,3.9428999880328774,33,2
graph_0059_n62.txt,15.517899999395013,69,1
graph_0060_n80.txt,11.12560008186847,478,8
graph_0061_n64.txt,14.953700010664761,176,2
graph_0062_n96.txt,31.430199975147843,166,3
graph_0063_n30.txt,8.802799973636866,129,2
graph_0064_n39.txt,11.239100014790893,175,4
graph_0065_n67.txt,9.284900035709143,136,2
graph_0066_n40.txt,7.585499901324511,136,2
graph_0067_n73.txt,13.549900031648576,145,2
graph_0068_n45.txt,7.4486000230535865,172,3
graph_0069_n21.txt,3.8406000239774585,183,2
graph_0070_n85.txt,14.05160001013428,187,3
graph_0071_n36.txt,9.15639998856932,75,1
graph_0072_n44.txt,16.182600054889917,191,3
graph_0073_n94.txt,10.911799967288971,25,1
graph_0074_n29.txt,6.159900105558336,184,3
graph_0075_n27.txt,3.1949999975040555,123,3
graph_0076_n52.txt,8.10740003362298,383,6
graph_0077_n88.txt,9.250100003555417,60,1
graph_0078_n21.txt,3.7727999733760953,125,2
graph_0079_n75.txt,9.467899915762246,21,1
graph_0080_n86.txt,10.571200051344931,73,1
graph_0081_n19.txt,1.4066000003367662,98,2
graph_0082_n32.txt,6.181799923069775,260,3
graph_0083_n76.txt,10.83949999883771,201,4
graph_0084_n33.txt,3.1344000017270446,201,4
graph_0085_n52.txt,7.288999971933663,74,1
graph_0086_n10.txt,2.5243000127375126,30,1
graph_0087_n89.txt,9.41430008970201,255,4
graph_0088_n43.txt,5.743899964727461,85,1
graph_0089_n72.txt,6.674699950963259,124,2
graph_0090_n43.txt,3.5228999331593513,109,2
graph_0091_n38.txt,13.044300023466349,92,2
graph_0092_n49.txt,12.522300006821752,103,2
graph_0093_n34.txt,8.386399946175516,102,2
graph_0094_n86.txt,14.467700035311282,61,1
graph_0095_n36.txt,14.038100023753941,175,2
graph_0096_n6.txt,3.4204000839963555,88,1
graph_0097_n43.txt,7.32209999114275,80,1
