graph_file,execution_time_ms,xu_cost_real,xu_path_length
graph_0001_n43.txt,0.09750004392117262,198,3
graph_0002_n20.txt,0.013800105080008507,59,1
graph_0003_n9.txt,0.0071999384090304375,53,1
graph_0004_n74.txt,0.011999974958598614,111,2
graph_0005_n85.txt,0.004399917088449001,70,1
graph_0006_n98.txt,0.026499968953430653,165,3
graph_0007_n3.txt,0.0035999109968543053,31,1
graph_0008_n58.txt,0.017600017599761486,148,3
graph_0009_n17.txt,0.005200039595365524,80,1
graph_0010_n61.txt,0.04569999873638153,226,3
graph_0011_n80.txt,0.017000013031065464,117,2
graph_0012_n64.txt,0.032800016924738884,210,3
graph_0013_n48.txt,0.027499976567924023,139,2
graph_0014_n39.txt,0.019700033590197563,139,2
graph_0015_n91.txt,0.030700000934302807,272,6
graph_0016_n65.txt,0.034800032153725624,238,4
graph_0017_n44.txt,0.03350002225488424,259,4
graph_0018_n51.txt,0.03869994543492794,202,3
graph_0019_n24.txt,0.00909995287656784,92,1
graph_0020_n19.txt,0.00200001522898674,56,1
graph_0021_n9.txt,0.005400041118264198,96,2
graph_0022_n6.txt,0.004400033503770828,40,1
graph_0023_n84.txt,0.036400044336915016,353,6
graph_0024_n45.txt,0.005800044164061546,138,2
graph_0025_n39.txt,0.003999914042651653,72,1
graph_0026_n69.txt,0.010100076906383038,190,3
graph_0027_n49.txt,0.02789997961372137,248,4
graph_0028_n66.txt,0.020900042727589607,175,3
graph_0029_n25.txt,0.018600025214254856,125,2
graph_0030_n98.txt,0.07940002251416445,233,3
graph_0031_n56.txt,0.016700010746717453,304,5
graph_0032_n55.txt,0.01650000922381878,203,3
graph_0033_n95.txt,0.02620008308440447,177,3
graph_0034_n33.txt,0.021300045773386955,118,2
graph_0035_n94.txt,0.13589998707175255,241,4
graph_0036_n86.txt,0.0076999422162771225,95,1
graph_0037_n94.txt,0.010599964298307896,112,2
graph_0038_n46.txt,0.029999995604157448,117,2
graph_0039_n4.txt,0.013899989426136017,73,1
graph_0040_n66.txt,0.02850010059773922,268,5
graph_0041_n33.txt,0.02280005719512701,48,1
graph_0042_n87.txt,0.12670003343373537,308,5
graph_0043_n33.txt,0.10339997243136168,264,4
graph_0044_n33.txt,0.0841999426484108,162,2
graph_0045_n83.txt,0.10069995187222958,245,3
graph_0046_n62.txt,0.015700003132224083,91,1
graph_0047_n9.txt,0.004800036549568176,49,1
graph_0048_n49.txt,0.021900050342082977,169,3
graph_0049_n78.txt,0.057999975979328156,309,5
graph_0050_n93.txt,0.04030007403343916,281,4
graph_0051_n44.txt,0.011999974958598614,150,2
graph_0052_n48.txt,0.005599926225841045,71,1
graph_0053_n44.txt,0.0295999925583601,147,3
graph_0054_n81.txt,0.031199888326227665,222,5
graph_0055_n7.txt,0.02610008232295513,115,2
graph_0056_n25.txt,0.016999896615743637,109,2
graph_0057_n78.txt,0.03830005880445242,126,2
graph_0058_n13.txt,0.0076999422162771225,33,2
graph_0059_n62.txt,0.00609993003308773,69,1
graph_0060_n80.txt,0.021399930119514465,478,8
graph_0061_n64.txt,0.03660004585981369,176,2
graph_0062_n96.txt,0.07370009552687407,166,3
graph_0063_n30.txt,0.03970006946474314,129,2
graph_0064_n39.txt,0.048900023102760315,175,4
graph_0065_n67.txt,0.09760004468262196,136,2
graph_0066_n40.txt,0.01680001150816679,136,2
graph_0067_n73.txt,0.023400061763823032,145,2
graph_0068_n45.txt,0.03569992259144783,172,3
graph_0069_n21.txt,0.016200006939470768,183,2
graph_0070_n85.txt,0.009699957445263863,187,3
graph_0071_n36.txt,0.005400041118264198,75,1
graph_0072_n44.txt,0.16300007700920105,191,3
graph_0073_n94.txt,0.004600035026669502,25,1
graph_0074_n29.txt,0.017200014553964138,184,3
graph_0075_n27.txt,0.008299946784973145,123,3
graph_0076_n52.txt,0.06450002547353506,383,6
graph_0077_n88.txt,0.003100023604929447,60,1
graph_0078_n21.txt,0.01750001683831215,125,2
graph_0079_n75.txt,0.004600035026669502,21,1
graph_0080_n86.txt,0.0034999102354049683,73,1
graph_0081_n19.txt,0.005200039595365524,98,2
